,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Genus
33,0,0,0.00236664083607347,0,0,0,0,0,0.000314997834389889,0,0,0,0,0,0,0,0,0,5.03423278292388e-05,0,0,0,0,0,0.172151559780426,0.0821233946877025,0.0273130273130273,0.0429322925504836,0.0358497548339347,0.0524777933613838,0.0250573274963519,0.29534802649417,0.409945711183496,0.0371330601321402,0.00849888452140657,0.051219022775158,0.214223283999534,0.216142592903985,0.0529035616030932,0.0175978285455779,0.0825151647801889,0.086645101663586,0,0,0,0,0,0.000327046767687779,0,0,0,0,0,0,0,0,0.000327475166466543,0,0,0,0,0,0,0.00035380696292103,0.000490236130402811,0,Bifidobacterium
35,0,0,0,0,0,0,0,0.000115710979686295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024268899405412,0,0.0965055562993707,0.121146297778286,0.0897325897325897,0.120397081282878,0.11388657600148,0.113565529063425,0.0196372732958099,0.296432583181625,0.0841693811074919,0.072983747316774,0.0716385141116895,0.0986756295776061,0.142058035194033,0.0689423238607701,0.0748754554241951,0.0906582221216919,0.122256269151398,0.0533477100020538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350783237381176,0.00449677984832895,0.000750750750750751,0.00364839640251145,0.00189656767508558,0.00440236870811906,0.00075046904315197,0,0,0.000418165091578155,0.00825100038953221,0.00938095715862346,0.000932292273627782,0,0.00289984385456168,0.00260122144311242,0.00165718216496779,0.00385089340727049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024268899405412,0,0,0,0,0,0,0,0,0,0,0.0515736946279725,0,0.00506672017658272,0,0,0,0.0146573173490161,0.00925520605340504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAG-352
40,0.00858273005448168,0.012619311019064,0.00456573187844263,0.00803503565094647,0.00537497302705142,0.0126162018592297,0.00814610116544515,0.00930830547698637,0.00834744261133205,0.0148516370554482,0.00111341273951321,0.0102875735681133,0.00637434490463126,0.0103195811336331,0.0111283826750512,0.00459351213864055,0.000763073240068826,0.00706162677352973,0.00466505571217613,0.0060550908263624,0.00844597889480563,0.00541807999635759,0.00682562795777211,0.00805413800754382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120898771575183,0.00979092299847017,0.00100499254360371,0.0024214471029115,0.000277812075564885,0.0132272248264835,0.00394658948891666,0.0109492313192706,9.80199960792002e-05,0.00558722919042189,0.00599669148056245,0.00669120107059217,0.00361592963596384,0.0125003955821387,0.00780482480078594,0.00222359481161211,0.00176090784582274,0.00703494406642832,0.00158277936055714,0.0135545984291867,0.00346380325597506,0.0115341069912256,0.0133997875643435,0.00609998673915926,Campylobacter
44,0.0102743985869592,0.0394144433867607,0.0302427377636291,0.0311629085381302,0.0434902014634051,0.0554375092223698,0.0670911930794185,0.0480071997942916,0.0454778123400402,0.107551627849888,0.0133091662351113,0.0215560553136514,0.0457868537350704,0.0307849399291751,0.0493888221578464,0.0237078374428184,0.0175955711827635,0.0280948770713744,0.0370687340582629,0.0320254803822057,0.0221975149706439,0.0248138957816377,0.0437143550539983,0.0264921233636565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132949774529622,0.0201937786843447,0.00810477857744926,0.0233496684923609,0.0112668230645759,0.0445510374650242,0.0182858646319805,0.0413836253128352,0.00372475985100961,0.00820980615735462,0.0278122415219189,0.0131733021077283,0.0144637185438554,0.0243362131713029,0.0297456609540443,0.0048177887584929,0.0088436705145764,0.0113020412870488,0.00712250712250712,0.00696731694958196,0.0106388242862091,0.00941126521369941,0.0245118065201405,0.016774963532688,Capnocytophaga
45,0.000572182003632112,0.00585299338804703,0.00735124719877689,0.0196170690216801,0.013241265668831,0.0301608381289656,0.0197284632944852,0.00853689894574441,0.00411465921171792,0.0403203534935101,0.00515277058518902,0.00294272453227427,0.0246595146954936,0.0120141649829455,0.00819614216067265,0.011464798891483,0.00544624822323633,0.00571861800064984,0.00335615518861592,0.00570508557628364,0.00317943316363353,0.0054408450383591,0.0267867977187235,0.0146216995784335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248794899704556,0.00132585415604284,0,0.0013260305563563,0.000802568218298555,0.00185326501689742,0.00608432546207985,0.00607794065069718,0.00122524995099,0.00114025085518814,0.00248138957816377,0,0.0030295626679697,0.00253172568752176,0.00130990066586617,0.00086473131562693,0.000626100567403639,0.000634298235497636,0.000791389680278569,0,0.000544311940224652,0.000495329748089442,0.00580112754309993,0.00225434292534147,Cardiobacterium
47,0,0.00340888625897245,0.000628311726391187,0.00550146585109848,0.000921984424348236,0.00692046628301608,0.00293163522768233,0.00608125482129082,0,0.00184111203166713,0.00214914552045572,0.00074166228049189,0.0021521628415121,0.00204219079276109,0.000989189571115664,0.00168934950553309,0,0.00238275750027077,0.00110753121224325,0.00479507192607889,0.00140441219497923,0.00195779361212921,0.00024268899405412,0.00674506323496783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000382457929627741,0,0.00149899106370712,0,0.00192594207638359,0,0.00147479442259564,0,0.00148232611174458,0.0011373035566584,0.000292740046838407,0,0.00227855311876958,0,0,0,0.000922615615269288,0,0.00418039016974918,0.000346380325597506,0.000919898103594679,0.00114388430427322,0.00139238827741679,Catonella
48,0.00271164514764783,0.0060459492140266,0.00427251973946007,0.0206666907959029,0.00174588539929772,0.0180020658108308,0.0108134086266971,0.0480971972229365,0.00200811119423554,0.0222774555831722,0.000362506473329881,0.00873247523804967,0.00149501388227176,0.00221599426448543,0.00505193245248357,0.000987035666154167,0,0.00777645402361096,0.00443012484897302,0.00644009660144902,0.00427175375972848,0.00402941243426594,0.0018201674554059,0.00574661637452851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000815910249872514,0,0,0,0.000399723827173953,0,0.00129603146228102,0,0,0.000827129859387924,0,0,0.000822810848444571,0,0,0,0.000634298235497636,0,0,0,0,0.000571942152136612,0,Centipeda
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110514081018254,0.00264550264550265,0,0,0.000662303256973664,0.0429435063581405,0,0,0.011095313763207,0.0029746095824923,0.000250827731513996,0.00268034028667987,0.000302673616949723,0.00104096958881701,0.0109251300610722,0.000812957288474767,0.00272129800780448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
