,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Species
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053351625319157,0.00933075933075933,0.00250296962497879,0,0,0.00700437773608505,0,0,0.000864207855928187,0,0,0.023219904440042,0,0.00208193917763402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alistipes onderdonkii
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114324911398194,0.00607750607750608,0,0,0,0,0,0.000608034744842562,0.0107050263444008,0,0.0066971004314237,0,0,0.00427541081121273,0.0181859307848903,0.00437746232255644,0.00361983980283426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alistipes putredinis
52,0,0.0116736117268079,0.00237518628912072,0.00723823786347186,0.0139666064981949,0.0310962575916941,0.000505547721044089,0.00554844830312352,0.000785951675199856,0.0039615358569784,8.33402783565297e-05,0.0397864463164672,0.0899784081602263,0.0462786864460505,0.000274725274725275,0.0132013201320132,0.000617654628120443,0.0407486790948061,0.038301266075167,0.0697234323562459,0.0622846057286317,0.0225866587415232,0.00275347670001046,0.0132064969893235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062198724926139,0.00568587455379908,0.00149127925825066,0.010319976938599,0.0209902457093468,0.0636287655801446,0.00029599421166875,0.00116195924204505,0.00490099980396001,0.00205245153933865,0,0.00526932084309133,0.00464207182995358,0.0566473622582993,0,0.0186534898085238,0.00152612013304637,0.00784223272978895,0.0129787907565685,0.0369901190777806,0.109258251274185,0.0141522785168412,0.00996813465152382,0.00921628431242541,Alloprevotella NA
54,0,0.0030735585306026,0,0.00727983693165273,0.000541516245487365,0,0.000399116621876912,0.0011211890353462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110013994713108,0.00265170831208567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189933523266857,0.00278692677983278,0,0.00771299179167846,0.000817060217338018,0,Alloprevotella tannerae
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712009639844691,0.0323920582294882,0.0208780208780209,0.0691922620057696,0.0481080580997317,0.0161679912731806,0.00233479257869502,0.0630204903745594,0.180412595005429,0.0229154470184829,0.00980912921845674,0.0457760610013043,0.0315522666355903,0.0921473011602489,0.0139787344783999,0.0219859760235241,0.0881120630354574,0.00967857876360649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes hadrus
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197058007216209,0,0,0.00894759267149553,0,0,0,0.00198153907896057,0.0293672066192751,0.015671767277619,0.000892259647557439,0.00350599411897761,0,0.00385089340727049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes NA
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120765832106038,0,0.033962533962534,0.0210419141354149,0,0.0149602618045816,0.00754638315613925,0,0,0.0279334281174208,0.00265590141293955,0,0,0.0127459223137716,0.00327161870771061,0.0105632209907261,0.0304233631417672,0.0226689258574656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides caccae
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157700723452069,0,0,0,0,0.00988084080867586,0,0,0,0,0.00323359825463612,0.00671252866374818,0,0,0.0813191714755652,0.00619710329685895,0,0,0,0.00516767045877017,0.0298348789866546,0,0.00439001848428835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides dorei
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363553218246256,0,0.00823010351264212,0.000925154963456379,0.00712949976624591,0.000208463623097769,0.0138280977650385,0.000521172638436482,0.000167266036631262,3.5412018839194e-05,0.0068475970703321,0.0377578370819252,0.0122750966874054,0,0.0198597602352409,0.00347070227002689,0.0267765454918874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424568355505236,0,0,Bacteroides fragilis
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755040755040755,0,0,0,0,0,0,0,0,0,0,0,0,0.024066953178014,0.00712901006816334,0.000282398849866502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides intestinalis
